sys_sample_code,sample_date,chemical_name,cas_rn,result_value,result_unit,Lab,lab_qualifiers,fraction,lab_sdg,sample_type_code,DEC_sample_type,qc_original_conc,qc_spike_added,qc_spike_measured,,analysis_date
16-WASS-2.1,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-WASS-2.1,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.037,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-0.1,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.38,mg/L,Smith,NJ,T,byhand,N,N,0.38,10,9.264,,
16-WEBA-0.1,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,2.8,mg/L,Smith,NJ,T,byhand,N,N,2.8,10,9.82,,
16-WEBA-0.1,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.037,mg/L,Smith,NJ,T,byhand,N,N,0.037,0.2,0.297,,
16-WEBA-0.1,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-0.1,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.18,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-0.1,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.33,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-0.1,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-WEBA-0.1,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.02,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-0.1,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.20,mg/L,Smith,"NJ,U",T,byhand,N,N,,,,,
16-WEBA-0.1,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,1.4,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-0.1,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.44,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-0.1,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-WEBA-0.1,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.044,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-13.1,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.75,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-13.1,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,7.9,mg/L,Smith,NJ,T,byhand,N,N,,,,,
